damage,url
92.54,http://web.archive.org/web/20231205095932if_/https://github.com/SNStatComp/awesome-official-statistics-software
63.05,http://web.archive.org/web/20221017091332if_/http://github.com/chethiya/Deep-Learning-Processor-List
60.31,http://web.archive.org/web/20240327104825if_/https://github.com/openvenues/libpostal
58.14,http://web.archive.org/web/20240412052226if_/https://github.com/erikbern/ann-benchmarks
56.98,http://web.archive.org/web/20240327124135if_/https://github.com/yell/boltzmann-machines
56.02,http://web.archive.org/web/20231219091828if_/https://github.com/PyCQA/pydocstyle
54.71,http://web.archive.org/web/20220808171024if_/https://github.com/aliasrobotics/RVD
51.37,http://web.archive.org/web/20240327134144if_/https://github.com/illacceptanything/illacceptanything
50.32,http://web.archive.org/web/20221224184835if_/https://github.com/meshpro/dmsh
50.24,http://web.archive.org/web/20221107013018if_/http://github.com/jorgeignaciogc/LevySupSim.jl
49.2,http://web.archive.org/web/20231114065050if_/https://github.com/jeroneandrews-sony/cama
47.63,http://web.archive.org/web/20220803124831if_/http://github.com/suavecode/SUAVE
47.05,http://web.archive.org/web/20231222233031if_/https://github.com/ferrite-fem/ferrite.jl
45.44,http://web.archive.org/web/20220724101254if_/https://github.com/yearn/yearn-protocol
44.53,http://web.archive.org/web/20220105113311if_/https://github.com/edongdongchen/EI
44.33,http://web.archive.org/web/20231214143232if_/https://github.com/pfnet/pfrl
44.32,http://web.archive.org/web/20230718125435if_/https://github.com/thu-ml/tianshou
43.87,http://web.archive.org/web/20240111015407if_/https://github.com/housleyjk/ws-rs
43.76,http://web.archive.org/web/20220630124741if_/https://github.com/joanna-/3D-Printing-Data
43.59,http://web.archive.org/web/20220919133502if_/https://github.com/pynucastro/pynucastro
42.98,http://web.archive.org/web/20240127220914if_/https://github.com/hyperledger/sawtooth-core
42.65,http://web.archive.org/web/20240415164335if_/https://github.com/jcjohnson/neural-style
42.54,http://web.archive.org/web/20240205051809if_/https://github.com/PX4/PX4-Autopilot
42.47,http://web.archive.org/web/20231216043130if_/https://github.com/rust-lang/hashbrown
42.27,http://web.archive.org/web/20221111194145if_/http://github.com/grishavak/PaCNet-denoiser
41.9,http://web.archive.org/web/20221114164146if_/https://github.com/cryos/avogadro
41.59,http://web.archive.org/web/20220917131055if_/https://github.com/thespacedoctor/soxspipe
41.5,http://web.archive.org/web/20231216131659if_/http://github.com/neulab/explainaboard
41.39,http://web.archive.org/web/20230421162022if_/http://github.com/midas-research/hindi-nli-data
41.31,http://web.archive.org/web/20231123112448if_/http://github.com/ktanidis/Modified_CosmoSIS_for_galaxy_number_count_angular_power_spectra
40.52,http://web.archive.org/web/20230321024200if_/https://github.com/centrifuge/precise-proofs
40.49,http://web.archive.org/web/20240411184838if_/https://github.com/Yan-Xia/ASFM-Net
40.32,http://web.archive.org/web/20230315124006if_/https://github.com/Applifting/pomuzeme.si
39.78,http://web.archive.org/web/20230126233030if_/https://github.com/POSTECH-CVLab/Combinatorial-3D-Shape-Generation
39.73,http://web.archive.org/web/20210622021619if_/https://github.com/yuantn/MI-AOD
39.47,http://web.archive.org/web/20221103005419if_/https://github.com/macanv/BERT-BiLSTM-CRF-NER
38.61,http://web.archive.org/web/20230828004808if_/https://github.com/cnr-isti-vclab/vcglib
38.03,http://web.archive.org/web/20230108162044if_/https://github.com/UMich-BipedLab/CLF_reactive_planning_system
37.74,http://web.archive.org/web/20230626050850if_/http://github.com/python-diamond/Diamond
