damage,url
41.43,http://web.archive.org/web/20231210021047if_/https://gitlab.com/tabos/rogerrouter
36.47,http://web.archive.org/web/20240315111758if_/https://gitlab.com/crafty-controller/crafty-4
36.38,http://web.archive.org/web/20231204024207if_/https://gitlab.com/kalilinux/documentation/kali-docs
35.5,http://web.archive.org/web/20230530113027if_/https://gitlab.com/islandoftex/arara
34.93,http://web.archive.org/web/20240319214938if_/https://gitlab.com/OpenMW/openmw
33.23,http://web.archive.org/web/20240308103142if_/https://gitlab.com/gitlab-org/professional-services-automation/tools/migration/congregate
33.07,http://web.archive.org/web/20240229060827if_/https://gitlab.com/gitlab-org/gitlab-runner
31.33,http://web.archive.org/web/20230709131232if_/https://gitlab.com/mbryant/functiontrace
31.23,http://web.archive.org/web/20231203015154if_/http://gitlab.com/etherlab.org/ethercat
30.39,http://web.archive.org/web/20240315202139if_/https://gitlab.com/timvisee/send
30.21,http://web.archive.org/web/20230926025819if_/https://gitlab.com/gitlab-org/ux-research
30.15,http://web.archive.org/web/20211019025208if_/https://gitlab.com/simonegiertz/the-every-day-calendar
30.13,http://web.archive.org/web/20230922030644if_/https://gitlab.com/gitmate/open-source/gitmate-2
29.36,http://web.archive.org/web/20231002024110if_/https://gitlab.com/octopus-code/octopus
29.09,http://web.archive.org/web/20220125233545if_/https://gitlab.com/ulm0/gitlab-runner
28.96,http://web.archive.org/web/20220625071121if_/https://gitlab.com/yoandev.co/yoandev-starter-pack-projet
28.8,http://web.archive.org/web/20220917212129if_/https://gitlab.com/originsro/originsro
28.65,http://web.archive.org/web/20240220105331if_/https://gitlab.com/guided-explorations/containers/kaniko-docker-build
28.03,http://web.archive.org/web/20231127105840if_/https://gitlab.com/sunilpaulmathew/izzyondroid
27.95,http://web.archive.org/web/20240323181523if_/https://gitlab.com/ClearURLs/ClearUrls
27.45,http://web.archive.org/web/20240131151526if_/https://gitlab.com/NickBusey/HomelabOS
27.29,http://web.archive.org/web/20231202231402if_/https://gitlab.com/portmod/portmod
27.26,http://web.archive.org/web/20231223100755if_/https://gitlab.com/gaiasky/gaiasky
27.2,http://web.archive.org/web/20231121005729if_/https://gitlab.com/hardenedlinux/artanis
27.12,http://web.archive.org/web/20231216112325if_/https://gitlab.com/serebit/wraith-master
