damage,url
46.39,http://web.archive.org/web/20221023154240if_/https://sourceforge.net/p/flightgear/flightgear/ci/next/tree/
34.92,http://web.archive.org/web/20230910222229if_/https://sourceforge.net/p/flightgear/fgdata/ci/next/tree/
33.29,http://web.archive.org/web/20240321122605if_/https://sourceforge.net/p/immortalwrt/immortalwrt/ci/master/tree/
32.22,http://web.archive.org/web/20240220140044if_/https://sourceforge.net/p/flightgear/gitorious-fgdata/ci/master/tree/
29.48,http://web.archive.org/web/20140307075128if_/http://sourceforge.net/p/sinekartapi/git/ci/master/tree/
28.44,http://web.archive.org/web/20220709005759if_/https://sourceforge.net/p/lazarus/laz.git/ci/main/tree/
28.23,http://web.archive.org/web/20151215203652if_/http://sourceforge.net/p/magmi/git/ci/master/tree/
28.22,http://web.archive.org/web/20170515202913if_/https://sourceforge.net/p/levent/code/ci/master/tree/
25.91,http://web.archive.org/web/20150922074253if_/http://sourceforge.net/p/fourchan-dl/code/ci/master/tree/
25.77,http://web.archive.org/web/20221023212132if_/https://sourceforge.net/p/flightgear/fgmeta/ci/next/tree/
25.48,http://web.archive.org/web/20220606214230if_/https://sourceforge.net/p/mingw/mingw-org-wsl/ci/5.1-trunk/tree/
25.23,http://web.archive.org/web/20221025185432if_/https://sourceforge.net/p/flightgear/sceneryweb/ci/master/tree/
24.87,http://web.archive.org/web/20151103094006if_/http://sourceforge.net/p/copfilter/code/HEAD/tree/
24.47,http://web.archive.org/web/20200218094102if_/https://sourceforge.net/p/octave/cgi/ci/master/tree/
24.29,http://web.archive.org/web/20151128154244if_/http://sourceforge.net/p/sinekarta/code/HEAD/tree/
24.18,http://web.archive.org/web/20230409221641if_/https://sourceforge.net/p/oprofile/oprofile-tests/ci/master/tree/
24.11,http://web.archive.org/web/20151113154914if_/http://sourceforge.net/p/sesamewinclient/code/HEAD/tree/
23.79,http://web.archive.org/web/20240321122610if_/https://sourceforge.net/p/immortalwrt/packages/ci/master/tree/
23.53,http://web.archive.org/web/20220806080315if_/https://sourceforge.net/p/jedit/LucenePlugin/ci/master/tree/
23.12,http://web.archive.org/web/20240321122615if_/https://sourceforge.net/p/immortalwrt/luci/ci/master/tree/
22.94,http://web.archive.org/web/20220519223048if_/https://sourceforge.net/p/mingw/ports/ci/master/tree/
22.84,http://web.archive.org/web/20150921084237if_/http://sourceforge.net/p/cord/code/HEAD/tree/
22.56,http://web.archive.org/web/20221226050602if_/https://sourceforge.net/p/net-snmp/code/ci/master/tree/
22.56,http://web.archive.org/web/20221226050602if_/https://sourceforge.net/p/net-snmp/code/ci/master/tree/
22.48,http://web.archive.org/web/20230731173735if_/https://sourceforge.net/p/android-x86/hardware_libhardware/ci/nougat-x86/tree/
22.3,http://web.archive.org/web/20151109184907if_/http://sourceforge.net/p/jaxe/mercurial/ci/default/tree/
21.89,http://web.archive.org/web/20220806081847if_/https://sourceforge.net/p/jedit/QuickNotepad/ci/master/tree/
21.77,http://web.archive.org/web/20230623043913if_/https://sourceforge.net/p/flightgear/fgrun/ci/next/tree/
21.21,http://web.archive.org/web/20220524182442if_/https://sourceforge.net/p/optflux/solvers2/ci/master/tree/
20.87,http://web.archive.org/web/20160127010903if_/http://sourceforge.net/p/heat-meteo/svn/HEAD/tree/
20.5,http://web.archive.org/web/20220524182449if_/https://sourceforge.net/p/optflux/dependencies/ci/master/tree/
